"run_id","timestamp_utc","run_context","machine_label","git_sha","git_ref","r_version","system","system_release","cpu_model","expression","median_sec","itr_sec","mem_alloc_bytes","gc_sec"
"20260321T023304Z-9687b45","2026-03-21T02:33:04Z","github-actions","github-actions | ubuntu-latest","9687b45d6be7edbf8e977b61aa2d39be302269e5","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_nested_option_auto_nlp",18.0708145550452,0.0553394540148806,4331208,0.166018362044642
"20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_nested_option_auto_nlp",0.867941981065087,1.15304479071142,2784704,0.768696527140945
"20260321T031753Z-d1c88ba","2026-03-21T03:17:53Z","github-actions","github-actions | ubuntu-latest","d1c88ba19b876140761975ef51ccfc410ddbe89c","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_nested_option_auto_nlp",0.931442778091878,1.07123569269074,607336,0.714157128460491
"20260321T023304Z-9687b45","2026-03-21T02:33:04Z","github-actions","github-actions | ubuntu-latest","9687b45d6be7edbf8e977b61aa2d39be302269e5","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_nlp_entities_people_org_place",1.88956807809882,0.528671324890459,736000,1.05734264978092
"20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_nlp_entities_people_org_place",1.90219768614043,0.520453943602637,736000,1.04090788720527
"20260321T031753Z-d1c88ba","2026-03-21T03:17:53Z","github-actions","github-actions | ubuntu-latest","d1c88ba19b876140761975ef51ccfc410ddbe89c","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_nlp_entities_people_org_place",2.19680402602535,0.457792741103564,729456,0.762987901839273
"20260321T023304Z-9687b45","2026-03-21T02:33:04Z","github-actions","github-actions | ubuntu-latest","9687b45d6be7edbf8e977b61aa2d39be302269e5","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_starwars_exact",0.691010344075039,1.4487537758184,22158768,5.79501510327361
"20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_starwars_exact",0.555712394067086,1.77110487251,22158768,5.31331461752999
"20260321T031753Z-d1c88ba","2026-03-21T03:17:53Z","github-actions","github-actions | ubuntu-latest","d1c88ba19b876140761975ef51ccfc410ddbe89c","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_starwars_exact",0.369208996999077,2.47415929838407,1668904,6.5977581290242
"20260321T023304Z-9687b45","2026-03-21T02:33:04Z","github-actions","github-actions | ubuntu-latest","9687b45d6be7edbf8e977b61aa2d39be302269e5","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_starwars_mixed",1.47431357507594,0.675724475124916,45219536,4.73007132587441
"20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_starwars_mixed",1.37810430012178,0.723799282201073,45219536,4.5840621206068
"20260321T031753Z-d1c88ba","2026-03-21T03:17:53Z","github-actions","github-actions | ubuntu-latest","d1c88ba19b876140761975ef51ccfc410ddbe89c","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_starwars_mixed",0.934009705088101,1.07082376356709,4278816,4.28329505426835
"20260321T023304Z-9687b45","2026-03-21T02:33:04Z","github-actions","github-actions | ubuntu-latest","9687b45d6be7edbf8e977b61aa2d39be302269e5","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_vector_approx",1.03090536000673,0.969281166468266,2189856,0
"20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_vector_approx",1.02784753707238,0.972458195500188,2263952,0
"20260321T031753Z-d1c88ba","2026-03-21T03:17:53Z","github-actions","github-actions | ubuntu-latest","d1c88ba19b876140761975ef51ccfc410ddbe89c","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_vector_approx",1.01754670811351,0.980131404683425,2238488,0
"20260321T023304Z-9687b45","2026-03-21T02:33:04Z","github-actions","github-actions | ubuntu-latest","9687b45d6be7edbf8e977b61aa2d39be302269e5","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_vector_exact",0.0675585769349709,14.660128107205,2606408,0
"20260321T024345Z-7612f59","2026-03-21T02:43:45Z","github-actions","github-actions | ubuntu-latest","7612f595fa18e691f41bd695a06a1e2f34a8b9ec","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_vector_exact",0.0677116140723228,14.6082264108078,2606408,0
"20260321T031753Z-d1c88ba","2026-03-21T03:17:53Z","github-actions","github-actions | ubuntu-latest","d1c88ba19b876140761975ef51ccfc410ddbe89c","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_vector_exact",0.0569684690563008,17.6276255750459,2022512,0
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_auto_nlp_core",1.92258062015753,0.518898726786507,727448,1.72966242262169
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_data_frame_approx",1.17385601403657,0.851967409919575,2012280,0
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_data_frame_exact",0.0716340000508353,13.9700379858146,380048,0
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_nested_mixed",0.778818678110838,1.28459191267853,2064256,3.8537757380356
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_nested_option_auto_nlp",0.853574552107602,1.17311839037103,607336,1.17311839037103
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_nlp_entities_people_org_place",1.92727199697401,0.516373046652727,729456,1.89336783772667
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_starwars_exact",0.364106737077236,2.50345918383567,1668904,8.34486394611888
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_starwars_mixed",0.918308453052305,1.09030101133909,4278816,7.63210707937363
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_vector_approx",1.00603326107375,0.994101752383999,2233256,0
"20260322T160536Z-9c7d497","2026-03-22T16:05:36Z","github-actions","github-actions | ubuntu-latest","9c7d4976260530f1bb95848955cba095fc5bb6b1","main","4.5.3","Linux","6.14.0-1017-azure","AMD EPYC 7763 64-Core Processor","anon_vector_exact",0.054511628113687,18.2948491690973,2022512,0
